compound_chembl_id,standard_inchi_key,smiles,hERG_blocker,pIC50,median_pIC50_equiv,std_pIC50_equiv,high_discordance,label_conflict,label_source,best_evidence_tier,n_measurements,n_exact_potency,n_pct_inhibition,n_censored,n_activator_rows,endpoints_used,source
CHEMBL2207429,AASJEUHBEWXQIG-UHFFFAOYSA-N,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3cc(C(=O)N(C)CCc4ccccn4)[nH]c23)cc1,0,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL1086377,AATCBLYHOUOCTO-UHFFFAOYSA-N,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL3935612,AATJHIFTVCAMGM-UHFFFAOYSA-N,O=C(c1ccc2cc(Oc3ccc(F)cn3)ccc2n1)N1CCNCC1,0,4.77,4.77,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL2407175,AATNRUXRJQIOEV-UHFFFAOYSA-N,CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,1,6.174,6.174,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL205720,AATPBSGADBLKLD-JAFNVKOHSA-N,OC(CCc1ccccc1)[C@@H]1CCC[C@H]1OCCc1ccc(OC(F)(F)F)cc1,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
AAUZPIUROATGLA-WGDIFIGCSA-N,AAUZPIUROATGLA-WGDIFIGCSA-N,COc1ccc(OCCNCCCF)c(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1CC(F)(F)CO,1,5.409,5.409,0.0,False,False,exact_potency,1,3,3,0,0,0,IC50,bindingdb
AAWVKKKAIWSWDT-FCHUYYIVSA-N,AAWVKKKAIWSWDT-FCHUYYIVSA-N,COc1ccc(-c2nc(CN[C@@H]3C[C@H]3c3ccc(F)cc3)cc(C(=O)N3CCN(S(C)(=O)=O)CC3)n2)cc1O,1,5.252,5.252,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
CHEMBL100415,AAXGNXOJOSOUQQ-SANMLTNESA-N,CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)[C@H]1CCN(Cc2ccccc2)C1=O,1,6.721,6.721,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4759483,AAYMLFXVNGDTKW-UHFFFAOYSA-N,Cc1ccc(-c2c(-c3ccc(C#N)cc3)nc(N3CCC(N)CC3)c(=O)n2C)cc1,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL2441440,AAYRYIFNKRSGOF-UHFFFAOYSA-N,O=C(Cc1ccc(-n2cnnn2)cc1)N1CCN(CCc2ccc3c(c2)COC3)CC1,1,5.602,5.602,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
ABAAZBBTLJOCIY-UHFFFAOYSA-N,ABAAZBBTLJOCIY-UHFFFAOYSA-N,CC(Cc1ccc(F)cc1)NCCCc1ccc(Br)cc1,1,6.279,6.279,0.023,False,False,exact_potency,1,2,2,0,0,0,Ki,bindingdb
CHEMBL490153,ABACVOXFUHDKNZ-UHFFFAOYSA-N,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,0,,,,False,False,censored_rescue,3,2,0,0,2,0,IC50|Ki,chembl
CHEMBL456654,ABAOWFCFAADMKA-UHFFFAOYSA-N,c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL4457647,ABAQMTMQQSSUGL-UHFFFAOYSA-N,O=C(Nc1ccnnc1)c1cc(N2CCOCC2)ccc1OCc1ccccc1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL589946,ABAYPBNJVATNDZ-UHFFFAOYSA-N,CC(C)c1ccc(CNCC(O)c2ccccc2)cc1,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL1085560,ABCLYDOXFRWKNB-MRXNPFEDSA-N,Cc1nc(C)c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cc1C#N,1,5.678,5.678,,False,False,exact_potency,1,1,1,0,0,0,Ki,chembl
CHEMBL1822863,ABCLYDOXFRWKNB-UHFFFAOYSA-N,Cc1nc(C)c(-c2ccc3cc(CCN4CCCC4C)ccc3n2)cc1C#N,1,5.076,5.076,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3972873,ABDLOXDCMBBRCJ-DEOSSOPVSA-N,NCCCCN(Cc1nccc2c3ccccc3n(CC(N)=O)c12)[C@H]1CCCc2cccnc21,1,5.745,5.745,0.0,False,False,exact_potency,1,2,2,0,0,0,IC50,"bindingdb,chembl"
CHEMBL1090526,ABDWUBPDHWDFCV-CYBMUJFWSA-N,COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(F)ccc21,1,5.745,5.745,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3115111,ABHVKYFWPPHTHF-ZMSNHJSUSA-N,COC1COCCC1N[C@@H]1C[C@H]2CN(C(=O)OCCN3CCOCC3)C[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL446446,ABIVOOWWGYJNLV-UHFFFAOYSA-N,NC(=O)C1CCCCc2c1[nH]c1ccc(Cl)cc21,0,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL4092973,ABJLUTPPUMSFJV-DUXPYHPUSA-N,CN(C/C=C/c1ccc(C(F)(F)F)c(F)c1)Cc1ccc2c(c1)OCCC2,1,6.699,6.699,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3086040,ABJSOROVZZKJGI-OCYUSGCXSA-N,O=C(NC(c1ccc(Cl)cc1)c1ccnc(F)c1)[C@@H]1CC[C@@H](N2CCOCC2)C[C@H]1c1ccc(Br)cc1,1,6.229,6.229,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3577956,ABJWJGMTLYSISP-UHFFFAOYSA-N,O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CCC2)CC1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL5761940,ABKATOFAZUIEJX-SCLBCKFNSA-N,Cc1c(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)nc(C)n(-c2cccc(Cl)c2Cl)c1=O,0,,,,False,False,censored_rescue,3,2,0,0,2,0,Ki,"bindingdb,chembl"
CHEMBL3683287,ABKCBHGHCYFDNT-UHFFFAOYSA-N,N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,0,4.174,4.174,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL3890490,ABKGTFFKSJEJIQ-FQEVSTJZSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,0,4.569,4.569,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4111966,ABKGTFFKSJEJIQ-HXUWFJFHSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)cn1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL4206036,ABNCFPYCMDGBQM-SFTDATJTSA-N,O=c1c2cc(Cc3ccc(Cl)nc3)c3ccccc3c2ncn1[C@H]1CCCC[C@@H]1O,0,4.886,4.886,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL1092748,ABOSMIZKCHEJEN-KIKDMBQDSA-N,CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)[C@H](CS(=O)(=O)c2ccccc2)C1,1,5.398,5.398,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL270853,ABOWDNIHZHLENL-UHFFFAOYSA-N,Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1,0,4.5,4.5,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
ABOXKYVSSWHNON-UHFFFAOYSA-N,ABOXKYVSSWHNON-UHFFFAOYSA-N,CC(C)(C)c1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,1,6.279,6.279,0.0,False,False,exact_potency,1,2,2,0,0,0,IC50,bindingdb
ABPKHQVFYTVEEG-YDEUYYDZSA-N,ABPKHQVFYTVEEG-YDEUYYDZSA-N,C[C@H]1OC(=O)[C@]2(CCC(N)=O)CC(F)(F)[C@@H](C)[C@H](/C=C/c3ccc(-c4cccnc4C#N)cn3)[C@H]12,0,4.222,4.222,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
CHEMBL2158563,ABQRRZZEGCBSBT-UHFFFAOYSA-N,CCN(CC)CCOc1cc(-c2nc(SCC(=O)NC)nc3[nH]cc(C#N)c23)c(Cl)cc1Cl,1,5.126,5.126,0.533,False,True,exact_potency,1,2,2,0,0,0,IC50,chembl
CHEMBL3612799,ABQYVJPTPMJTBN-UHFFFAOYSA-N,COc1cc(CCN2CCN(CC(O)c3ccc4c(c3C)COC4=O)CC2)ccc1C#N,1,5.046,5.046,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4566383,ABRPMRGSTZUQTH-UHFFFAOYSA-N,COC(=O)C1CCN(C(=O)c2ccc(COc3ccc4nc(N)sc4c3)cc2)CC1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL564347,ABSKTFYOWZQKEU-LBEPJEHYSA-N,CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)C[C@]12CC[C@H](CC1)C2(C)C,1,5.2,5.2,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4206581,ABSVLRWGUIGOPF-UHFFFAOYSA-N,CC1(C)Cc2c(c(C(=O)Nc3ccc(C(F)(F)F)cc3)cc3nc(Nc4c(Cl)cccc4Cl)[nH]c23)O1,1,,,,False,False,pct_inhibition,2a,1,0,1,0,0,Inhibition,chembl
CHEMBL2059319,ABUDXXYFKLCSKO-UHFFFAOYSA-N,O=C1CCc2ccc(F)cc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,1,5.244,5.244,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
ABUOTBUEFWXSRP-IBGZPJMESA-N,ABUOTBUEFWXSRP-IBGZPJMESA-N,Cc1ccc2c(-c3ccccc3[C@@H](N)Cc3nc(S(C)(=O)=O)ccc3C)noc2c1,1,5.886,5.886,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
CHEMBL1642190,ABUSVPPSVYCGDS-WYMLVPIESA-N,COc1cc(/C=C/c2nc(NCc3ccccc3)c3c4c(sc3n2)CCC4)ccc1-n1cnc(C)c1,1,5.951,5.951,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4217603,ABWOWIYOHHZBRY-QQHIZMLBSA-N,CCc1nn2c(C)cc(C)nc2c1Cc1ccc(/C=C/CN2CCN(C[C@@H](O)CO)CC2)cc1,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL256659,ABWRXTVIPWIMTE-UHFFFAOYSA-N,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(F)(F)F)oc4c3CC2)n1C,1,5.3,5.3,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
ABXMAAVUSZPZAU-ISKFKSNPSA-N,ABXMAAVUSZPZAU-ISKFKSNPSA-N,CNC[C@H](c1ccc2ccccc2c1)[C@H](OCc1nc(C)no1)c1ccccc1,0,4.824,4.824,,False,False,exact_potency,1,1,1,0,0,0,IC50,bindingdb
CHEMBL553395,ABYFXYVIEFXQPH-HNNXBMFYSA-N,CSc1ccccc1C(=O)N(C1CCCCC1)[C@H]1CCNC1,1,5.644,5.644,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL1784407,ABZWLBYXKLBEFX-UHFFFAOYSA-N,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)C2(C(=O)O)CCC2)CC1,0,4.35,4.35,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4748041,ACAIBIBNIFXKCV-UHFFFAOYSA-N,CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(NCC5(N)CC5)c(C)n4)n3)cc12,0,4.959,4.959,,False,False,exact_potency,1,1,1,0,0,0,IC50,chembl
CHEMBL4453748,ACALVKSHYQWUFA-UHFFFAOYSA-N,C=CC(=O)N(c1ccc(F)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,0,,,,False,False,censored_rescue,3,1,0,0,1,0,IC50,chembl
CHEMBL3601377,ACBKFGPDANWBLT-UHFFFAOYSA-N,COc1ccc(COc2cnn(CC(=O)c3ccc(CN(C)C)cc3C)c(=O)c2)nc1,0,4.796,4.796,,False,False,exact_potency,1,2,1,1,0,0,IC50|Inhibition,chembl
